Block Size, Size, Kernel (s), GFLOPS/s, Unrolled
5, 100, 0, 0, No
5, 200, 0, 0, No
5, 500, 0, 0, No
5, 1000, 0, 0, No
5, 2000, 0, 0, No
5, 5000, 0, 0, No
15, 100, 0, 0, No
15, 200, 0, 0, No
15, 500, 0, 0, No
15, 1000, 0, 0, No
15, 2000, 0, 0, No
15, 5000, 0, 0, No
50, 100, 0, 0, No
50, 200, 0, 0, No
50, 500, 0, 0, No
50, 1000, 0, 0, No
50, 2000, 0, 0, No
50, 5000, 0, 0, No
16, 100, 0, 0, No
16, 200, 0, 0, No
16, 500, 0, 0, No
16, 1000, 0, 0, No
16, 2000, 0, 0, No
16, 5000, 0, 0, No
32, 100, 0, 0, No
32, 200, 0, 0, No
32, 500, 0, 0, No
32, 1000, 0, 0, No
32, 2000, 0, 0, No
32, 5000, 0, 0, No
64, 100, 0, 0, No
64, 200, 0, 0, No
64, 500, 0, 0, No
64, 1000, 0, 0, No
64, 2000, 0, 0, No
64, 5000, 0, 0, No
128, 100, 0, 0, No
128, 200, 0, 0, No
128, 500, 0, 0, No
128, 1000, 0, 0, No
128, 2000, 0, 0, No
128, 5000, 0, 0, No
16, 100, 0, 0, No
16, 200, 0, 0, No
16, 500, 0, 0, No
16, 1000, 0, 0, No
16, 2000, 0, 0, No
16, 5000, 0, 0, No
32, 100, 0, 0, No
32, 200, 0, 0, No
32, 500, 0, 0, No
32, 1000, 0, 0, No
32, 2000, 0, 0, No
32, 5000, 0, 0, No
64, 100, 0, 0, No
64, 200, 0, 0, No
64, 500, 0, 0, No
64, 1000, 0, 0, No
64, 2000, 0, 0, No
64, 5000, 0, 0, No
128, 100, 0, 0, No
128, 200, 0, 0, No
128, 500, 0, 0, No
128, 1000, 0, 0, No
128, 2000, 0, 0, No
128, 5000, 0, 0, No
