Method, Matrix Size, Execution Time (s), GFLOPS/s, Speedup (CPU/GPU)
lib, 100, 0.000082, 24.390243, -
lib_offload, 100, 0.000098, 20.408163, .836734
lib, 500, 0.006410, 39.001560, -
lib_offload, 500, 0.000784, 318.877551, 8.176020
lib, 1000, 0.049398, 40.487469, -
lib_offload, 1000, 0.001064, 1879.699248, 46.426691
lib, 2000, 0.385114, 41.546139, -
lib_offload, 2000, 0.003818, 4190.675746, 100.867993
lib, 5000, 5.902635, 42.353965, -
lib_offload, 5000, 0.007763, 32204.044828, 760.354888
lib, 10000, 47.114880, 42.449434, -
lib_offload, 10000, 0.029189, 68518.962622, 1614.131350
