Method, Size, Elements Per Thread, Kernel (s), GFLOPS/s
blk_offload, 100, 1, 0.004726, .423190
blk_offload, 100, 2, 0.002713, .737191
blk_offload, 100, 4, 0.002710, .738007
blk_offload, 100, 8, 0.002695, .742115
blk_offload, 200, 1, 0.015735, 1.016841
blk_offload, 200, 2, 0.009745, 1.641867
blk_offload, 200, 4, 0.008976, 1.782531
blk_offload, 200, 8, 0.004773, 3.352189
blk_offload, 500, 1, 0.015564, 16.062708
blk_offload, 500, 2, 0.016097, 15.530844
blk_offload, 500, 4, 0.015497, 16.132154
blk_offload, 500, 8, 0.015583, 16.043123
blk_offload, 1000, 1, 0.051236, 39.035053
blk_offload, 1000, 2, 0.051242, 39.030482
blk_offload, 1000, 4, 0.051178, 39.079291
blk_offload, 1000, 8, 0.051171, 39.084637
blk_offload, 2000, 1, 0.203054, 78.796773
blk_offload, 2000, 2, 0.201806, 79.284064
blk_offload, 2000, 4, 0.205418, 77.889960
blk_offload, 2000, 8, 0.201945, 79.229493
blk_offload, 5000, 1, 1.228326, 203.529030
blk_offload, 5000, 2, 1.230282, 203.205443
blk_offload, 5000, 4, 1.228414, 203.514450
blk_offload, 5000, 8, 1.228458, 203.507161
