Method, Size, Kernel (s), GFLOPS/s
mkn_offload, 100, 0.001626, 1.230012
mkn_offload, 200, 0.004125, 3.878787
mkn_offload, 500, 0.002566, 97.427903
mkn_offload, 1000, 0.009839, 203.272690
mkn_offload, 2000, 0.089483, 178.804912
mkn_offload, 5000, 1.064970, 234.748396
mnk_offload, 100, 0.003462, .577700
mnk_offload, 200, 0.002050, 7.804878
mnk_offload, 500, 0.001891, 132.205182
mnk_offload, 1000, 0.003277, 610.314311
mnk_offload, 2000, 0.016868, 948.541617
mnk_offload, 5000, 0.319038, 783.605714
blk_offload, 100, 0.001610, 1.242236
blk_offload, 200, 0.004272, 3.745318
blk_offload, 500, 0.001788, 139.821029
blk_offload, 1000, 0.002576, 776.397515
blk_offload, 2000, 0.009400, 1702.127659
blk_offload, 5000, 0.134146, 1863.641107
asy_offload, 100, 0.016317, .122571
asy_offload, 200, 0.004529, 3.532788
asy_offload, 500, 0.002127, 117.536436
asy_offload, 1000, 0.004329, 462.000462
asy_offload, 2000, 0.018481, 865.754017
asy_offload, 5000, 0.330286, 756.919760
